month,amount
2022-01,168728.0
2022-02,146097.0
2022-03,192059.0
2022-04,312487.0
2022-05,216132.0
2022-06,113470.0
2022-07,271747.0
2022-08,173250.0
2022-09,144291.0
2022-10,185479.0
2022-11,280252.0
2022-12,194796.0
2023-01,178986.31
2023-02,156176.8
2023-03,202438.55
2023-04,335008.9
2023-05,233055.1
2023-06,119551.45
2023-07,291091.14
2023-08,187203.22
2023-09,156389.99
2023-10,200517.13999999998
2023-11,303527.45
2023-12,209012.09
2024-01,188858.62
2024-02,162304.52
2024-03,215754.93
2024-04,353585.75
2024-05,243882.62
2024-06,128049.01
2024-07,305412.97000000003
2024-08,196108.69
2024-09,161053.85
2024-10,208692.15
2024-11,317015.95
2024-12,216739.99
